crop,soil_type,nitrogen_min,nitrogen_max,phosphorus_min,phosphorus_max,potassium_min,potassium_max,ph_min,ph_max,temp_min,temp_max,humidity_min,humidity_max,rain_min,rain_max,moisture_min,moisture_max,season
Star Fruit,loamy,50.0,70.0,30.0,40.0,40.0,50.0,5.5,6.5,20.0,30.0,60.0,80.0,1000.0,2000.0,50.0,60.0,year_round
Bilimbi,clay_loam,40.0,60.0,20.0,30.0,30.0,40.0,5.5,6.5,25.0,35.0,70.0,80.0,1500.0,2500.0,60.0,70.0,year_round
Wood Apple,sandy,30.0,50.0,20.0,30.0,30.0,40.0,6.0,7.5,25.0,40.0,40.0,60.0,500.0,1000.0,30.0,40.0,summer
Manila Tamarind,sandy,20.0,40.0,10.0,20.0,20.0,30.0,6.0,8.0,25.0,40.0,40.0,60.0,400.0,800.0,20.0,30.0,summer
Jujube,sandy_loam,30.0,50.0,20.0,30.0,30.0,40.0,6.0,8.0,25.0,45.0,30.0,50.0,300.0,600.0,20.0,30.0,winter
Water Apple,clay_loam,50.0,70.0,30.0,40.0,40.0,50.0,5.5,7.0,25.0,35.0,70.0,80.0,1500.0,2500.0,60.0,70.0,summer
Mangosteen,red_laterite,80.0,100.0,40.0,60.0,80.0,100.0,5.5,6.5,25.0,35.0,80.0,90.0,2000.0,3000.0,70.0,80.0,summer
Rambutan,loamy,80.0,100.0,40.0,60.0,80.0,100.0,5.5,6.5,25.0,32.0,80.0,90.0,2000.0,3000.0,70.0,80.0,summer
Litchi,loamy,100.0,120.0,50.0,60.0,100.0,120.0,6.0,7.0,15.0,30.0,60.0,80.0,1200.0,1500.0,50.0,60.0,summer
Longan,sandy_loam,80.0,100.0,40.0,60.0,80.0,100.0,5.5,6.5,20.0,30.0,70.0,80.0,1500.0,2000.0,60.0,70.0,summer
Durian,clay_loam,100.0,150.0,60.0,80.0,100.0,150.0,5.5,6.5,24.0,30.0,80.0,90.0,2000.0,3000.0,70.0,80.0,summer
Persimmon,loamy,60.0,80.0,30.0,40.0,60.0,80.0,6.0,7.0,15.0,25.0,60.0,70.0,1000.0,1500.0,50.0,60.0,hills/winter
Loquat,loamy,60.0,80.0,30.0,40.0,60.0,80.0,6.0,7.0,15.0,25.0,60.0,70.0,800.0,1200.0,50.0,60.0,hills/winter
Kumquat,sandy_loam,80.0,100.0,40.0,50.0,80.0,100.0,6.0,7.0,15.0,30.0,50.0,70.0,800.0,1200.0,40.0,50.0,winter
Pomelo,loamy,100.0,120.0,50.0,60.0,100.0,120.0,6.0,7.0,20.0,30.0,60.0,80.0,1000.0,1500.0,50.0,60.0,winter
Citron,clay_loam,80.0,100.0,40.0,50.0,80.0,100.0,6.0,7.0,25.0,35.0,50.0,70.0,800.0,1200.0,40.0,50.0,year_round
Grapefruit,loamy,100.0,120.0,50.0,60.0,100.0,120.0,6.0,7.0,20.0,30.0,50.0,70.0,1000.0,1500.0,50.0,60.0,winter
Cherry,loamy,60.0,80.0,30.0,40.0,60.0,80.0,6.0,7.0,10.0,20.0,50.0,70.0,800.0,1200.0,50.0,60.0,hills/sum
Kiwi,loamy,80.0,100.0,40.0,50.0,80.0,100.0,5.5,6.5,15.0,25.0,60.0,80.0,1200.0,2000.0,60.0,70.0,hills/sum
Avocado,red_laterite,100.0,150.0,50.0,70.0,100.0,150.0,5.5,6.5,20.0,30.0,60.0,80.0,1500.0,2500.0,60.0,70.0,summer
Breadfruit,clay_loam,80.0,100.0,40.0,50.0,80.0,100.0,6.0,7.5,25.0,35.0,70.0,80.0,1500.0,2500.0,60.0,70.0,summer
Dragon Fruit,sandy,50.0,70.0,30.0,40.0,50.0,70.0,6.0,7.5,20.0,35.0,50.0,70.0,600.0,1200.0,30.0,40.0,summer
Passionflower,loamy,60.0,80.0,30.0,40.0,60.0,80.0,6.0,7.0,20.0,30.0,60.0,80.0,1000.0,1500.0,50.0,60.0,year_round
Macaque Cup,clay_loam,60.0,80.0,30.0,40.0,60.0,80.0,6.0,7.0,25.0,35.0,70.0,80.0,1500.0,2000.0,60.0,70.0,summer
Indian Plum,sandy_loam,50.0,70.0,30.0,40.0,50.0,70.0,6.0,7.5,25.0,40.0,40.0,60.0,600.0,1000.0,40.0,50.0,summer
Mulberry (Fruit),loamy,80.0,100.0,40.0,50.0,80.0,100.0,6.0,7.0,20.0,30.0,60.0,80.0,800.0,1200.0,50.0,60.0,year_round
Blackberry,loamy,60.0,80.0,30.0,40.0,60.0,80.0,5.5,6.5,15.0,25.0,60.0,80.0,1000.0,1500.0,50.0,60.0,hills/sum
Raspberry,loamy,60.0,80.0,30.0,40.0,60.0,80.0,5.5,6.5,15.0,25.0,60.0,80.0,1000.0,1500.0,50.0,60.0,hills/sum
Olive,sandy_loam,60.0,80.0,30.0,40.0,60.0,80.0,6.5,8.0,15.0,25.0,40.0,60.0,500.0,800.0,30.0,40.0,hills/winter
Date Palm,sandy,40.0,60.0,20.0,30.0,60.0,80.0,6.5,8.5,25.0,45.0,30.0,50.0,200.0,600.0,20.0,30.0,summer
Zucchini,sandy_loam,80.0,100.0,40.0,50.0,60.0,80.0,6.0,7.0,20.0,30.0,50.0,70.0,600.0,800.0,50.0,60.0,zaid
